"Height","Crown_Diameter","DBH","Visibility","alpha"
3.52763906198533,2.10010654402969,4.55240197371372,"Visible",4.98093087924644
2.8888984696547,1.84265576825378,3.12289829421553,"Invisible",4.98093087924644
2.82869343269421,1.81742289296347,3.00123835700998,"Invisible",4.98093087924644
2.95548765510392,1.87035381134211,3.2601019508478,"Invisible",4.98093087924644
3.09943024345488,1.92950213116416,3.56614150325955,"Visible",4.98093087924644
3.04521355278482,1.9073373300694,3.44935570626815,"Invisible",4.98093087924644
3.10061359327526,1.92998440688633,3.56871087828275,"Invisible",4.98093087924644
3.27434287986831,2.00011512433375,3.95534183655711,"Visible",4.98093087924644
2.93521821910811,1.86194568422959,3.21804431871741,"Invisible",4.98093087924644
3.25467556671674,1.99224149993025,3.91063534518833,"Visible",4.98093087924644
3.03112491613048,1.90155538882305,3.41930730575196,"Invisible",4.98093087924644
2.83290923233394,1.81919579959895,3.00968347225304,"Invisible",4.98093087924644
3.10960996380987,1.93364881336943,3.5882728886637,"Invisible",4.98093087924644
4.0106861753286,2.28418440367838,5.79962761027345,"Visible",4.98093087924644
3.73210644162467,2.17902366674446,5.06302632196134,"Visible",4.98093087924644
3.44187615950248,2.06653716806577,4.34583128266234,"Visible",4.98093087924644
2.84340864317567,1.82360725277806,3.03076442461957,"Invisible",4.98093087924644
3.00957737420592,1.89269434785496,3.37358956735331,"Invisible",4.98093087924644
3.05049131218626,1.90950092997016,3.46064398011591,"Invisible",4.98093087924644
3.06699456097561,1.91625805816533,3.49605358070038,"Visible",4.98093087924644
2.91586419610219,1.85389855601225,3.17812573587106,"Invisible",4.98093087924644
3.03250163683927,1.90212080003832,3.42223814316452,"Visible",4.98093087924644
3.10807259937259,1.93302287285043,3.58492643133839,"Visible",4.98093087924644
3.16583860929197,1.95646955643257,3.71167627030936,"Visible",4.98093087924644
2.94707616862817,1.86686699989305,3.24261756191333,"Visible",4.98093087924644
2.82834613349636,1.81727679957034,3.00054314242693,"Invisible",4.98093087924644
3.4699963966812,2.07757550532051,4.41306554817103,"Visible",4.98093087924644
3.34682380601023,2.02899234918083,4.12216104536309,"Visible",4.98093087924644
3.01394850295039,1.89449366287161,3.38284046842883,"Invisible",4.98093087924644
2.91318538802055,1.85278329464768,3.17261902136294,"Visible",4.98093087924644
3.61208808792096,2.13288735714994,4.76020731091609,"Visible",4.98093087924644
2.93711351530535,1.86273273505486,3.22196604399855,"Visible",4.98093087924644
