"Height","Crown_Diameter","DBH","Visibility","alpha"
8.05997254847906,3.36238240718807,21.6428764239983,"Visible",2.14121464872733
4.4856872946116,2.8442343335276,7.16337491910869,"Visible",2.14121464872733
4.67952517695927,2.91286213032391,7.75859942468435,"Visible",2.14121464872733
5.51806349558471,3.19641979964653,10.5888595763235,"Visible",2.14121464872733
4.05326311108126,2.00858591411453,5.91634043823939,"Visible",2.14121464872733
5.00556683845289,2.35279354546967,8.80997741634377,"Visible",2.14121464872733
5.59907239574471,2.55892838371878,10.8840726784116,"Visible",2.14121464872733
3.85797420880129,2.61256989843515,5.39001524562324,"Invisible",2.14121464872733
3.2424921552098,2.36880121722394,3.88306062447455,"Invisible",2.14121464872733
3.2749088945773,2.38211898080762,3.95663200079951,"Invisible",2.14121464872733
2.97673646698569,1.59369395613614,3.30446717731725,"Invisible",2.14121464872733
2.87339473647776,2.21283912295009,3.09135179964589,"Visible",2.14121464872733
3.19434934284995,2.34891499814432,3.77499671981555,"Visible",2.14121464872733
3.39866028115904,1.76016538992076,4.24345028378283,"Invisible",2.14121464872733
3.31268987849055,1.72668636489473,4.04319628250507,"Visible",2.14121464872733
3.56946753852389,1.82606090724026,4.65478523274519,"Visible",2.14121464872733
3.31835818722574,1.72890039241382,4.05625952596108,"Invisible",2.14121464872733
3.18012648085152,1.67463236217721,3.74334575827036,"Visible",2.14121464872733
4.04509446097722,2.68324549844655,5.89386363722615,"Visible",2.14121464872733
3.03149806815552,1.61561879542475,3.42010157534744,"Visible",2.14121464872733
5.36816857131892,2.47941513741791,10.0526859779556,"Visible",2.14121464872733
2.94388172375102,2.24327009422281,3.23598906417827,"Invisible",2.14121464872733
3.01462032958833,2.2734916450762,3.38426335395301,"Invisible",2.14121464872733
4.17368108798052,2.05314822519936,6.25234182197698,"Visible",2.14121464872733
3.06498954670283,1.62897881917607,3.49174255348232,"Invisible",2.14121464872733
2.90010511740897,2.22440857921469,3.14579492922997,"Invisible",2.14121464872733
3.89743055963453,1.95042198358784,5.49449590722869,"Invisible",2.14121464872733
3.26984813080771,1.70992164371729,3.94510360336338,"Invisible",2.14121464872733
2.92029628409314,1.57099107253242,3.18724645049318,"Invisible",2.14121464872733
3.10860497472784,2.31316992858428,3.58608511304095,"Invisible",2.14121464872733
3.69328688972493,2.54911929515301,4.96412037067018,"Invisible",2.14121464872733
